item_id,calculation_or_assumption,independent_method,source_input,independent_result,r_engine_result,audited_excel_result,difference_or_tolerance,status,consequence,recommended_action
AUD-069,DT50 = Inf gives a constant (pelleted seed case),Independent reasoning plus direct test of both half-lives,"Residue DT50 Inf and surface DT50 Inf, days 0 to 60",Constant at the initial value,"ai_per_seed constant at 0.00744 for all t; surface seed constant at 180 for all t; first_order_remaining(t, Inf) returns exactly 1 not NaN",,Exact,PASS,"Specification invariant 3 holds. The engine accepts Inf and does not special-case a crop name, as claimed.",None
AUD-070,Duration above the metric when residues do not dissipate,Independent reasoning (dose never falls below the metric),EDE 76.18 and M 7.78 and residue DT50 Inf,Infinite,Inf,,Exact,PASS,The function special-cases the infinite half-life rather than evaluating Inf x log2(...),None
AUD-071,Treated seeds available within the maximum search area,Independent Python arithmetic S(t) x MSA,Barley broadcast low 180 seeds/m2 and MSA 70 m2,12600 seeds,12600 seeds,1!J79 = 12600,Exact,PASS,Reproduces the spec section 10.1 worked example against the primary source,None
AUD-072,Treated seeds available within the MSA for a mass-supplied crop,Independent Python arithmetic,Buckwheat broadcast low bound and MSA 70 m2,4827.586206897 seeds,4827.586206896553,7!J79 = 4827.5862068965507,Exact,PASS,Confirms the engine follows the workbook's crop-sheet column J convention,None
AUD-073,Maximum feasible dietary fraction,Independent Python arithmetic S(t) x MSA x m_seed / FIR; the workbook uses an equivalent mass-basis formula,"Barley broadcast low, small bird, TKW 24.8 and 59.5",6152.670500615 and 14761.44737043 percent,6152.670500615064 and 14761.4473704273,1!K79 = 6152.6705006150642 and 1!M79 = 14761.447370427271,Exact to all stored digits,PASS,"Confirms both the count-basis and mass-basis formulations agree, and confirms the 2x2 crossing on the crop sheet",None
AUD-074,Maximum feasible dietary fraction for a mass-supplied crop,Independent Python arithmetic,Buckwheat broadcast low bound small bird,2756.572804935 percent,2756.572804935066 and 2756.572804935065 at the two TKW cells,7!M79 = 2756.5728049350646,Exact,PASS,Reproduces the workbook exactly and demonstrates TKW-invariance for mass-supplied crops,None
AUD-075,Required search area,Independent Python arithmetic n_req / S(t),"Barley broadcast low, small bird, both seed counts",1.137717353676 and 0.474208241532 m2,1.137717353675974 and 0.474208241532171,1!M20 = 1.1377173536759739 and 1!K20 = 0.47420824153217062,Exact to all stored digits,PASS,Reproduces the spec section 10.1 worked example against the primary source,None
AUD-076,Required search area under spring drilling,Independent Python arithmetic,Barley spring drill low bound high TKW small bird,14.36994671310 m2,14.36994671309608,1!K22 = 14.369946713096079,Exact,PASS,Confirms the surface-fraction factor is applied in the availability denominator,None
AUD-077,Required search area for a mass-supplied crop,Independent Python arithmetic,Buckwheat broadcast low bound small bird,2.539385133405 m2,2.539385133404773 and 2.539385133404774 at the two TKW cells,7!M20 = 2.5393851334047737,Exact,PASS,Reproduces the workbook and confirms TKW-invariance,None
AUD-078,Days for which at least a full daily diet remains available,Independent Python arithmetic DT50_surface x log2(max_feasible(0)),Barley broadcast low small bird MSA 70 m2,83.20397158607 days,83.20397158606747,1!N79 = 83.203971586067468,Exact to all stored digits,PASS,Confirms the availability duration uses the SURFACE-SEED half-life and not the residue half-life,None
AUD-079,Days of availability under spring drilling,Independent Python arithmetic,Barley spring drill low bound high TKW small bird,31.98020294113 days,31.98020294113462,1!P81 = 31.980202941134621,Exact,PASS,Confirms the correct half-life is used in a second configuration,None
AUD-080,Days of availability for the published oat case,Independent Python arithmetic,Oat upper fall drill large bird MSA 140 m2,25.1714687672924 days,25.1714687672924,,Matches fixture BSC-CALC-021 (25.171469),PASS,Reproduces the published feasibility duration,None
AUD-081,Identity required_search_area(t) x S(t) = n_req,Recomputed the identity independently in R across the full canonical dataset,125280 daily time-course rows,The identity holds,Maximum relative error 2.07e-16,,2.1e-16,PASS,Specification invariant 14 holds,None
