consideration_id,table162_decision_ids,applicable_decision_count,crop_use,taxon_receptor,scenario_applicability,theme,concise_consideration,direction,evidence_type,quantitative_value,source_document,source_table_section_appendix,traceability_status,uncertainty_qualification,relevance_to_table162_decision,related_existing_finding_trc_xrf_ids,evidence_interpretation_or_judgment
T162-C0011,T162-D0119; T162-D0131; T162-D0143; T162-D0155; T162-D0167; T162-D0179,6,Canola/Mustard,Mammal; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at high rates, 100% diet exceeds 79/150 for about 17-27/7-18 days; at 25%, 79 persists about 7 days and 150 is not exceeded.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0012,T162-D0118; T162-D0130; T162-D0142; T162-D0154; T162-D0166; T162-D0178,6,Canola/Mustard,Mammal; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at high rates, 100% diet exceeds 79/150 mg/kg bw/d for about 19-30/10-20 days; at 25%, 79 persists about 9 days at the high loading and 150 is not exceeded.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0013,T162-D1431; T162-D1443; T162-D1455; T162-D1467; T162-D1479; T162-D1491; T162-D1503; T162-D1515; T162-D1527; T162-D1539,10,Corn,Bird; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"the quantitative tables cover this body size, but the current risk-characterization narrative provides no medium- or large-bird decision synthesis.",UNCERTAIN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0014,T162-D1430; T162-D1442; T162-D1454; T162-D1466; T162-D1478; T162-D1490; T162-D1502; T162-D1514; T162-D1526; T162-D1538,10,Corn,Bird; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"the quantitative tables cover this body size, but the current risk-characterization narrative provides no medium- or large-bird decision synthesis.",UNCERTAIN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0015,T162-D1429; T162-D1441; T162-D1453; T162-D1465; T162-D1477; T162-D1489; T162-D1501; T162-D1513; T162-D1525; T162-D1537,10,Corn,Bird; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"with spill cleanup, an estimated 5-35% of diet (<1-9 seeds) is available; at 0.25 mg/seed, 35% diet is below the highest tested dose with no mortality. about 2-20% of diet (<1-11 seeds) is estimated available; at 0.25 mg/seed, 20% diet approaches the first mortality dose (140 versus 155 mg/kg bw/d), while 0.125 mg/seed reaches at most 67% of the no-mortality dose.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0016,T162-D1434; T162-D1446; T162-D1458; T162-D1470; T162-D1482; T162-D1494; T162-D1506; T162-D1518; T162-D1530; T162-D1542,10,Corn,Bird; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"the quantitative tables cover this body size, but the current risk-characterization narrative provides no medium- or large-bird decision synthesis.",UNCERTAIN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0017,T162-D1433; T162-D1445; T162-D1457; T162-D1469; T162-D1481; T162-D1493; T162-D1505; T162-D1517; T162-D1529; T162-D1541,10,Corn,Bird; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"the quantitative tables cover this body size, but the current risk-characterization narrative provides no medium- or large-bird decision synthesis.",UNCERTAIN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0018,T162-D1432; T162-D1444; T162-D1456; T162-D1468; T162-D1480; T162-D1492; T162-D1504; T162-D1516; T162-D1528; T162-D1540,10,Corn,Bird; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,even 0.125 mg/seed at 10% treated-seed diet can exceed the 7.78 mg/kg bw/d chronic metric for about 10 days and the 10.8 reproduction-effect level for about 6 days.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 54-65; MAIN-H0043; MAIN-H0045; MAIN-P000777; MAIN-P000780; MAIN-P000782; MAIN-P000784; MAIN-P000786,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0019,T162-D1437; T162-D1449; T162-D1461; T162-D1473; T162-D1485; T162-D1497; T162-D1509; T162-D1521; T162-D1533; T162-D1545,10,Corn,Mammal; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,lower rates are not expected to reach acute mortality-effect levels; the no-clinical-sign level is exceeded for at most about 3 days in the small-mammal 0.25 mg/seed case. 50-100% diet at the maximum sweet/popcorn loadings can reach doses associated with clinical signs and mortality; the 5000 mg/kg exception for large mammals is noted.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0020,T162-D1436; T162-D1448; T162-D1460; T162-D1472; T162-D1484; T162-D1496; T162-D1508; T162-D1520; T162-D1532; T162-D1544,10,Corn,Mammal; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,lower rates are not expected to reach acute mortality-effect levels; the no-clinical-sign level is exceeded for at most about 3 days in the small-mammal 0.25 mg/seed case. 50-100% diet at the maximum sweet/popcorn loadings can reach doses associated with clinical signs and mortality; the 5000 mg/kg exception for large mammals is noted.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0021,T162-D1435; T162-D1447; T162-D1459; T162-D1471; T162-D1483; T162-D1495; T162-D1507; T162-D1519; T162-D1531; T162-D1543,10,Corn,Mammal; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,lower rates are not expected to reach acute mortality-effect levels; the no-clinical-sign level is exceeded for at most about 3 days in the small-mammal 0.25 mg/seed case. 50-100% diet at the maximum sweet/popcorn loadings can reach doses associated with clinical signs and mortality; the 5000 mg/kg exception for large mammals is noted.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0022,T162-D1440; T162-D1452; T162-D1464; T162-D1476; T162-D1488; T162-D1500; T162-D1512; T162-D1524; T162-D1536; T162-D1548,10,Corn,Mammal; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 1000 mg/kg, 79 mg/kg bw/d is exceeded for about 5 days at 50% and 15 days at 100% diet without reaching observed survival/reproduction effects; lower loadings are narrower. maximum sweet/popcorn loadings can cause prolonged exceedance of growth/survival effect levels at 50-100% diet, except the large-mammal 5000 mg/kg case.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0023,T162-D1439; T162-D1451; T162-D1463; T162-D1475; T162-D1487; T162-D1499; T162-D1511; T162-D1523; T162-D1535; T162-D1547,10,Corn,Mammal; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 1000 mg/kg, 79 mg/kg bw/d is exceeded for about 5 days at 50% and 15 days at 100% diet without reaching observed survival/reproduction effects; lower loadings are narrower. maximum sweet/popcorn loadings can cause prolonged exceedance of growth/survival effect levels at 50-100% diet, except the large-mammal 5000 mg/kg case.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0024,T162-D1438; T162-D1450; T162-D1462; T162-D1474; T162-D1486; T162-D1498; T162-D1510; T162-D1522; T162-D1534; T162-D1546,10,Corn,Mammal; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 1000 mg/kg, 79 mg/kg bw/d is exceeded for about 5 days at 50% and 15 days at 100% diet without reaching observed survival/reproduction effects; lower loadings are narrower. maximum sweet/popcorn loadings can cause prolonged exceedance of growth/survival effect levels at 50-100% diet, except the large-mammal 5000 mg/kg case.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 122-136; MAIN-H0077; MAIN-H0079; MAIN-P001390; MAIN-P001392; MAIN-P001398; MAIN-P001401; MAIN-P001403; MAIN-P001405; MAIN-P001407; MAIN-P001409; MAIN-P001411,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0025,T162-D1551; T162-D1563; T162-D1575; T162-D1587; T162-D1599; T162-D1611; T162-D1623; T162-D1635; T162-D1647; T162-D1659,10,Cucurbits,Bird; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,even the estimated maximum 109 surface seeds remains below the acute no-mortality threshold; only standard-drilled cucumber may reach the first clinical-sign level.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 66-74; MAIN-H0046; MAIN-H0048; MAIN-P000791; MAIN-P000795; MAIN-P000804; MAIN-P000806; MAIN-P000808; MAIN-P000813; MAIN-P000815; MAIN-P000818; MAIN-P000822; MAIN-P000824; MAIN-P000826; MAIN-P000831; MAIN-P000835; MAIN-P000837; MAIN-P000839; MAIN-P000849; MAIN-P000851; MAIN-P000857; MAIN-P000859; MAIN-P000861,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0026,T162-D1550; T162-D1562; T162-D1574; T162-D1586; T162-D1598; T162-D1610; T162-D1622; T162-D1634; T162-D1646; T162-D1658,10,Cucurbits,Bird; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,standard drilling may provide 8.6-54 cucumber seeds and >20 high-rate seeds reach 155 mg/kg bw; precision planting provides at most 8.3 seeds and remains below the first acute clinical-sign level.,DECREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 66-74; MAIN-H0046; MAIN-H0048; MAIN-P000791; MAIN-P000795; MAIN-P000804; MAIN-P000806; MAIN-P000808; MAIN-P000813; MAIN-P000815; MAIN-P000818; MAIN-P000822; MAIN-P000824; MAIN-P000826; MAIN-P000831; MAIN-P000835; MAIN-P000837; MAIN-P000839; MAIN-P000849; MAIN-P000851; MAIN-P000857; MAIN-P000859; MAIN-P000861,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
