assumption_id,name,value_or_description,unit_if_applicable,scope,source_document,source_location,supporting_evidence,tables_using_assumption,narrative_sections_using_assumption,uncertainty_stated_in_assessment,structural_status,notes
ASSUMPTION-012,Short-term MSA for small/medium birds,70,m2 over 1 day,20 g and 100 g bird analyses,MAIN,MAIN-P000202; MAIN-P000209,EFSA (2023) and Northern Zone guidance as cited,TABLES:Table 21; TABLES:Table 22; TABLES:Table 42; TABLES:Table 43,MAIN-H0015; MAIN-H0032,Assessment states more confirmatory work is needed.,AVAILABLE,
ASSUMPTION-013,Short-term MSA for large birds,140,m2 over 1 day,1000 g bird analyses,MAIN,MAIN-P000203; MAIN-P000209,EFSA (2023) and Northern Zone guidance as cited,TABLES:Table 23; TABLES:Table 44,MAIN-H0015; MAIN-H0032,Assessment states more confirmatory work is needed.,AVAILABLE_WITH_CAPTION_GAP,Table 44 is captioned medium rather than large (TRC-003).
ASSUMPTION-014,Bird long-term MSA,No separate long-term MSA applied.,qualitative,All refined bird analyses,MAIN,MAIN-P000209; MAIN-P000412,MAIN-P000361; MAIN-P000374,TABLES:Table 27; TABLES:Table 48,MAIN-H0015; MAIN-H0031,Uncertainty in causal exposure window is explicit.,AVAILABLE,
ASSUMPTION-015,Short-term mammal MSA,70,m2 over 1 day,"15 g, 35 g and 1000 g mammal analyses",MAIN,MAIN-P000202; MAIN-P000209,EFSA (2023) and Northern Zone guidance as cited,TABLES:Table 96; TABLES:Table 105; TABLES:Table 146,MAIN-H0015; MAIN-H0067,Assessment states more confirmatory work is needed.,AVAILABLE,
ASSUMPTION-016,Long-term mammal MSA,35,m2 over 21 days,"15 g, 35 g and 1000 g mammal analyses",MAIN,MAIN-P000202; MAIN-P000209,Mammal toxicity narrative and EFSA (2023) as cited,TABLES:Table 96; TABLES:Table 105; TABLES:Table 146,MAIN-H0015; MAIN-H0067,Relies on interpretation of duration needed for apical effects.,AVAILABLE_WITH_BROKEN_FIELDS,Tables 105-107 provenance fields are broken (XRF-0009).
ASSUMPTION-017,Bird receptor body weights,"Small 20; medium 100; large 1000. Table-embedded daily food quantities reconstruct as 5.08, 19.9 and 58.2 g/d, respectively.",g body weight; g food/day,Bird screening/refined models,MAIN,MAIN-P000125; TABLES-P005831; TABLES-P005964; TABLES-P006097,TABLES:Table 9; TABLES:Table 10; TABLES:Table 11; TABLES:Table 24; TABLES:Table 25; TABLES:Table 26,TABLES:Table 21; TABLES:Table 24; TABLES:Table 27,MAIN-H0019; MAIN-H0032,Generic classes represent multiple species; food source and fresh/dry-weight basis are not stated.,AVAILABLE_WITH_RECONSTRUCTED_FOOD_INTAKE,"The values reproduce the table calculations. Candidate allometric forms reproduce the small/medium and large values, but the assessment does not state those equations or their provenance (TRC-001)."
ASSUMPTION-018,Mammal receptor body weights,"Small 15; medium 35; large 1000 in quantitative tables. Table-embedded daily food quantities reconstruct as 2.18, 4.37 and 68.7 g/d, respectively.",g body weight; g food/day,Mammal screening/refined models,MAIN,MAIN-P000125; TABLES-P021447; TABLES-P021582; TABLES-P021718,TABLES:Table 91; TABLES:Table 92; TABLES:Table 93; TABLES:Table 99; TABLES:Table 100; TABLES:Table 101,TABLES:Table 96; TABLES:Table 99; TABLES:Table 102,MAIN-H0056; MAIN-H0067,MAIN-P000198 discusses a 100 g home-range example while quantitative medium class is 35 g; food source and fresh/dry-weight basis are not stated.,AVAILABLE_WITH_RECONSTRUCTED_FOOD_INTAKE_AND_CAPTION_GAP,"The three daily-food values are consistent with the inferred implementation 0.235 x BW(g)^0.822, but the assessment does not state that equation or its provenance. Table 119 says 100 g; recorded as TRC-004."
ASSUMPTION-019,Bird buried-seed accessibility,Only surface seed is quantitatively accessible; buried-seed contribution inferred negligible.,qualitative,Refined bird analyses,MAIN,MAIN-P000308; MAIN-P000408,MAIN-H0022; TABLES:Table 14,TABLES:Table 21; TABLES:Table 32,MAIN-H0022; MAIN-H0031,Assessment acknowledges some birds may access buried seed.,AVAILABLE,
ASSUMPTION-020,Mammal shallow-seed accessibility,"For selected scenarios with sowing depth at or below 3 cm, all treated seed may be presumed available.",qualitative,Crop-specific mammal analyses,MAIN,MAIN-P001217,MAIN-H0059; TABLES:Table 105,TABLES:Table 96; TABLES:Table 105,MAIN-H0059; MAIN-H0067,Buried seed is described as less accessible despite the model assumption.,AVAILABLE,"Applied branch-by-branch, not universally."
ASSUMPTION-021,Avian dehusking reduction,No default quantitative reduction in exposure.,qualitative,All bird crop branches,MAIN,MAIN-P000301; MAIN-P000406,MAIN-H0021; TABLES:Table 14,,MAIN-H0021; MAIN-H0031,Species/seed variability and handling exposure are stated.,AVAILABLE,
ASSUMPTION-022,Avian avoidance reduction,No default quantitative avoidance reduction; birds are assumed not to avoid treated seed.,qualitative,All bird crop branches,MAIN,MAIN-P000339; MAIN-P000410,TABLES:Table 12; TABLES:Table 13; APPENDICES-H0002,,MAIN-H0023; MAIN-H0031,Study transferability to Canadian products is uncertain.,AVAILABLE_WITH_XRF,Appendix L references map to Appendix B under XRF-0002.
ASSUMPTION-023,Alternative food availability,Untreated weed seed and waste grain are assumed available; dietary fraction is not automatically 100% in refined characterization.,qualitative,Bird and mammal refined characterization,MAIN,MAIN-P000181,MAIN-H0011,,MAIN-H0011; MAIN-H0032; MAIN-H0067,Abundance and attractiveness vary by field/species.,AVAILABLE,Used as a qualitative line of evidence.
ASSUMPTION-024,Estimated daily diet calculation,"Daily food quantities reconstructed from table EDE and seed counts: birds 5.08, 19.9 and 58.2 g/d at 20, 100 and 1000 g bw; mammals 2.18, 4.37 and 68.7 g/d at 15, 35 and 1000 g bw. EDE = application rate (mg/kg seed) x food (g/d) / body weight (g) x diet fraction.",g food/day; mg a.i./kg bw/d,All quantitative dose tables,TABLES,TABLES-P005831; TABLES-P005964; TABLES-P006097; TABLES-P021447; TABLES-P021582; TABLES-P021718,Quantitative table seed counts and EDE values; independently reproduced in Phase 3A,TABLES:Table 24; TABLES:Table 25; TABLES:Table 26; TABLES:Table 35; TABLES:Table 99; TABLES:Table 100; TABLES:Table 101,MAIN-H0032; MAIN-H0067,"No explicit formula source, fresh/dry-weight basis or conversion factor was located in current assessment content.",RECONSTRUCTED_IMPLEMENTATION_PROVENANCE_UNRESOLVED,TRC-001 remains open but is narrowed: implementation values and equations are reconstructable; authoritative provenance and mass basis are not.
