calculation_id,source_table,source_row_or_scenario,input_values,input_provenance,equation,independent_result,reported_result,absolute_difference,relative_difference,unit,rounding_explanation,status,notes
BSC-CALC-011,TABLES:Table 25,Medium bird; millet 6.5 g TKW; 100% diet,food=19.947252 g/d; seed mass=0.0065 g,TABLES-P005964; TABLES-P001021,seeds/day = food(g/d) / seed mass(g/seed),3068.807984,3069,0.192016,0.0063%,seeds/d,3068.81 rounds to 3069.,MATCH_WITH_ROUNDING,
BSC-CALC-012,TABLES:Table 26,Large bird; 13 g TKW; 100% diet,food=58.153386 g/d; seed mass=0.013 g,TABLES-P006097; TABLES-P001021,seeds/day = food(g/d) / seed mass(g/seed),4473.337376,4473,0.337376,0.0075%,seeds/d,4473.34 rounds to 4473.,MATCH_WITH_ROUNDING,
BSC-CALC-013,TABLES:Table 2,Small bird screening; 300 mg/kg; acute RQ,maximum EDE=76.2; acute metric=43.1,TABLES-P000063; TABLES-P000015,RQ = EDE / effects metric,1.767981,1.77,0.002019,0.114%,dimensionless RQ,1.76798 rounds to 1.77.,MATCH_WITH_ROUNDING,
BSC-CALC-014,TABLES:Table 2,Small bird screening; 300 mg/kg; chronic RQ,maximum EDE=76.2; chronic metric=7.78,TABLES-P000063; TABLES-P000021,RQ = EDE / effects metric,9.794344,9.79,0.004344,0.0444%,dimensionless RQ,9.79434 rounds to 9.79 at the table precision.,MATCH_WITH_ROUNDING,
BSC-CALC-015,TABLES:Table 24; TABLES:Table 27,Small bird; 300 mg/kg; chronic threshold diet fraction,100%-diet EDE=76.181554; chronic metric=7.78,TABLES-P005831; TABLES-P006202; MAIN-P000471,threshold diet fraction (%) = metric / EDE(100%) x 100,10.21%,Table/narrative bracket threshold above 10% and at or below 25%,,,% diet as treated seed,,MATCH,"The independently calculated threshold is 10.21%, consistent with no exceedance at 10% and exceedance at 25%."
BSC-CALC-016,TABLES:Table 21,Wheat lower broadcast seed-density scenario,"direct seeding=600,000 seeds/ha; broadcast surface fraction=1",TABLES-P001021; MAIN-P000163; TABLES-P005348,"surface density = seeds/ha / 10,000 x surface fraction",60,60,0,0%,seeds/m2,Exact at displayed precision.,MATCH,
BSC-CALC-017,TABLES:Table 21,Wheat lower broadcast scenario; small-bird MSA,surface density=60 seeds/m2; MSA=70 m2,TABLES-P005348; MAIN-P000209,surface seeds in MSA = density x MSA,4200,4200,0,0%,seeds in MSA,Exact at displayed precision.,MATCH,
BSC-CALC-018,TABLES:Table 21,Wheat lower broadcast scenario; small bird; 50 g TKW,surface seeds=4200; food=5.078770 g/d; seed mass=0.050 g,TABLES-P005348; TABLES-P001021,% diet = surface seeds / (food/seed mass) x 100,4134.859207,4135,0.140793,0.0034%,% daily diet available,4134.86 rounds to 4135.,MATCH_WITH_ROUNDING,
BSC-CALC-019,TABLES:Table 21,Wheat lower broadcast scenario; days >=100% diet,initial availability=4135%; surface-seed DT50=14 d,TABLES-P005348; MAIN-P000183,days = 14 x log2(initial % / 100),75.177416,75,0.177416,0.2366%,days,75.15 rounds to 75.,MATCH_WITH_ROUNDING,
BSC-CALC-020,TABLES:Table 22,Buckwheat upper spring-drill scenario; medium bird,"seeding=3,103,448 seeds/ha; surface=0.033; MSA=70 m2; food=19.947252 g/d; seed=0.029 g",TABLES-P001021; MAIN-P000163; TABLES-P005509,"% diet = [(seeds/ha/10,000) x surface x MSA] / (food/seed mass) x 100",104.224874,104,0.224874,0.2162%,% daily diet available,104.24 rounds to 104.,MATCH_WITH_ROUNDING,
BSC-CALC-021,TABLES:Table 23,Oat upper fall-drill scenario; large bird; days >=100% diet,"seeding=5,814,815 seeds/ha; surface=0.092; MSA=140 m2; food=58.153386 g/d; seed=0.027 g; DT50=14 d",TABLES-P001021; MAIN-P000163; MAIN-P000183; TABLES-P005671,initial % = surface seeds/(food/seed mass)x100; days=14xlog2(initial%/100),25.171469,25,0.171469,0.6859%,days,25.17 rounds to 25.,MATCH_WITH_ROUNDING,
BSC-CALC-022,TABLES:Table 27,Small bird; 300 mg/kg; 100% diet; acute screen,initial EDE=76.181554; metric=43.1; residue DT50=10 d,TABLES-P006202; TABLES-P000015; MAIN-P000138,days = 10 x log2(initial EDE / metric),8.217538,8.22,0.002462,0.0299%,days,8.2175 rounds to 8.22.,MATCH_WITH_ROUNDING,
BSC-CALC-023,TABLES:Table 27,Small bird; 200 mg/kg; 100% diet; chronic screen,initial EDE=50.787703; metric=7.78; residue DT50=10 d,TABLES-P006202; TABLES-P000021; MAIN-P000138,days = 10 x log2(initial EDE / metric),27.066372,27.1,0.033628,0.1241%,days,27.099 rounds to 27.1.,MATCH_WITH_ROUNDING,
BSC-CALC-024,TABLES:Table 28,Medium bird; 300 mg/kg; 100% diet; chronic screen,initial EDE=59.841756; metric=7.78; residue DT50=10 d,TABLES-P006441; TABLES-P000021; MAIN-P000138,days = 10 x log2(initial EDE / metric),29.433104,29.4,0.033104,0.1126%,days,29.433 rounds to 29.4.,MATCH_WITH_ROUNDING,
BSC-CALC-025,TABLES:Table 28,Medium bird; 300 mg/kg; 25% diet; chronic screen,initial EDE=14.960439; metric=7.78; residue DT50=10 d,TABLES-P006441; TABLES-P000021; MAIN-P000138,days = 10 x log2(initial EDE / metric),9.433104,9.43,0.003104,0.0329%,days,9.433 rounds to 9.43; MAIN-P000486 mislabels this table row as 20% diet.,MATCH_WITH_ROUNDING,
BSC-CALC-026,TABLES:Table 29,Large bird; 300 mg/kg; 100% diet; chronic screen,initial EDE=17.446016; metric=7.78; residue DT50=10 d,TABLES-P006656; TABLES-P000021; MAIN-P000138,days = 10 x log2(initial EDE / metric),11.650555,11.7,0.049445,0.4226%,days,11.651 rounds to 11.7.,MATCH_WITH_ROUNDING,
BSC-CALC-027,TABLES:Table 21,Barley/rye/triticale/wheat broadcast; reciprocal-area upper bound,lower density=60 seeds/m2,TABLES-P005371; TABLES-P005348,m2/seed = 1 / density(seeds/m2),0.016667,0.0017,0.014967,880.3922%,m2/seed,Expected 0.0167; no rounding explains the factor-of-10 difference.,MATERIAL_DISCREPANCY,The surface-seed count and percent-diet calculations use 60 seeds/m2 and are not affected by this displayed reciprocal error.
BSC-CALC-028,TABLES:Table 21,Millet spring-drill lower density,"minimum pearl-millet seeding=861,538 seeds/ha; spring surface fraction=0.033",TABLES-P001021; MAIN-P000163; TABLES-P005410,"surface density = seeds/ha / 10,000 x 0.033",2.843075,11,8.156925,74.1539%,seeds/m2,"Expected 2.84, not 11; the table's 199 seeds/70 m2 and 0.35 m2/seed independently confirm about 2.84.",MATERIAL_DISCREPANCY,The repeated display cell is inconsistent; downstream surface-seed count uses the reconstructable lower density.
