crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
"Bean, snap",206,534,84848,640000,17.478687999999998,45.308832,131.84,341.76,84848,640000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",91,207,16667,327206,1.5166970000000002,3.4500690000000005,29.775746,67.73164200000001,16667,327206,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Beet, garden",20,20,NA,NA,7,7,7,7,350000,350000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
Borage,19,19,NA,NA,17,17,17,17,894736.8421052633,894736.8421052633,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Broccoli,2.9,4.55,23920,521009,0.06936800000000001,0.108836,1.5109260999999998,2.37059095,23920,521009,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, chinese",2.9,4.55,107639,1722226,0.3121531,0.4897574499999999,4.9944554,7.8361283,107639,1722226,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, leaf",2.9,4.55,430556,3571000,1.2486124,1.9590297999999997,10.3559,16.24805,430556,3571000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Broccoli, raab",0.86,2.26,322917,861113,0.27770862,0.7297924199999999,0.74055718,1.94611538,322917,861113,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Buckwheat,29,37.3,NA,NA,20,20,90,90,536193.0294906166,3103448.275862069,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Cabbage,3.13,5.3,17940,242188,0.0561522,0.095082,0.7580484399999999,1.2835964,17940,242188,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Cabbage, chinese",1.33,4,32292,287038,0.04294836,0.129168,0.38176054,1.148152,32292,287038,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Argentine, broadcast seeding",2.5,7.5,NA,NA,3.2,3.2,10,10,426666.6666666667,4000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,FALSE,FALSE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Argentine, standard planting",2.5,7.5,NA,NA,2.2,2.2,9,9,293333.3333333334,3600000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Polish, broadcast seeding",2,3,NA,NA,2.8,2.8,8,8,933333.3333333333,4000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,FALSE,FALSE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola, Polish, standard planting",2,3,NA,NA,1.8,1.8,7,7,600000,3500000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola/rapeseed, all varieties, broadcast seeding",2,7.5,NA,NA,2.8,2.8,10,10,373333.3333333333,5000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,FALSE,FALSE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Canola/rapeseed, all varieties, standard seeding",2,7.5,NA,NA,1.8,1.8,9,9,240000.00000000003,4500000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Carinata,3.5,6.5,1900000,6363636,6.7,12.35,22.272726,41,1900000,6363636,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Carrot, fresh market whole baby",0.8,2.5,3333333,8166667,2.6666664,8.333332500000001,6.533333600000001,20.4166675,3333333,8166667,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Carrot, processing and fresh market, excluding whole baby",0.8,2.5,256989,4666667,0.20559119999999995,0.6424725,3.7333336,11.6666675,256989,4666667,DIRECT,DIRECT,TRUE,TRUE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Celery,0.56,0.56,NA,NA,0.14,0.14,0.14,0.14,250000,250000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Chayote,2050,13460,3588,7176,7.3554,48.29448,14.7108,96.58896,3588,7176,DIRECT,DIRECT,TRUE,FALSE,FALSE,FALSE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Chickpea, Desi",200,299,NA,NA,90,90,105,105,301003.3444816054,525000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Chickpea, Kabuli",257,450,NA,NA,135,135,210,210,300000,817120.6225680934,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Corn, grain/field",200,400,37066,126500,7.413200000000001,14.8264,25.3,50.6,37066,126500,DIRECT,DIRECT,TRUE,FALSE,FALSE,FALSE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Corn, popcorn or ornamental",95,192,43056,99000,4.090319999999999,8.266752,9.405,19.008,43056,99000,DIRECT,DIRECT,TRUE,FALSE,FALSE,FALSE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Corn, sweet",91,250,35830,111111,3.2605299999999997,8.9575,10.111101,27.77775,35830,111111,DIRECT,DIRECT,TRUE,FALSE,FALSE,FALSE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Cucumber, fresh market",14,33,21528,170000,0.301392,0.71042399999999994,2.38,5.61,21528,170000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Cucumber, processing, including pickling and gherkin",14,33,37000,235294,0.518,1.221,3.294116,7.764702000000001,37000,235294,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Endive,2,2,NA,NA,1,1,2,2,500000,1000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
Flax,5,6.5,NA,NA,30,30,50,50,4615384.615384615,10000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Gourd,33,302,1455,64583,0.048015,0.43941,2.131239,19.504066,1455,64583,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Gourd, bitter",60,60,3588,23920,0.21528,0.21528,1.4352,1.4352,3588,23920,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Gourd, wax",70,100,2990,7176,0.2093,0.299,0.50232,0.7176,2990,7176,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Leek,2.18,3.8,222222,600000,0.48444396000000006,0.8444436,1.308,2.28,222222,600000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Lentil,25,80,1300000,2600000,32.5,104,65,208,1300000,2600000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Lettuce, baby leaf",0.6,1.7,2583336,46500093,1.5500016,4.391671199999999,27.900055799999997,79.0501581,2583336,46500093,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Lettuce, leaf and head",0.6,1.7,60000,NA,0.036,0.102,2.25,2.25,60000,3750000.000000001,DIRECT,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Lupin,105,503,NA,NA,78,78,240,240,155069.5825049702,2285714.285714286,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Melon (excluding citron and watermelon),21.6,33.3,5980,32292,0.129168,0.199134,0.6975072000000001,1.0753236,5980,32292,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Melon, citron and watermelon",40.8,180,3364,30000,0.1372512,0.60552,1.224,5.4,3364,30000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet , all varieties",1.8,6.5,NA,NA,5.6,5.6,40,40,861538.4615384615,22222222.222222224,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet, pearl",5.3,6.5,NA,NA,5.6,5.6,34,34,861538.4615384615,6415094.339622641,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Millet, proso",5,6.5,NA,NA,22.4,22.4,40,40,3446153.846153846,8000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, brown and oriental",1.6,4,NA,NA,4.5,4.5,8,8,1125000,5000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, greens, baby leaf",1.6,4,23250047,38750078,37.2000752,93.000188,62.0001248,155.000312,23250047,38750078,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, greens, excluding baby leaf",1.6,4,430556,1076391,0.6888896,1.722224,1.7222256000000002,4.305564,430556,1076391,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, oilseed, broadcast seeding",1.6,4,NA,NA,5.5,5.5,9,9,1375000,5625000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,FALSE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, oilseed, standard planting",1.6,4,NA,NA,4.5,4.5,8,8,1125000,5000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,FALSE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Mustard, yellow",4.5,6.5,NA,NA,7.8,7.8,11.2,11.2,1200000,2488888.888888889,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Oat,27,46,NA,NA,53.8,53.8,157,157,1169565.2173913042,5814814.814814814,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, dry bulb, excluding set production",2.9,4.7,86111,1066667,0.2497219,0.4047217000000001,3.0933342999999995,5.0133349,86111,1066667,DIRECT,DIRECT,TRUE,TRUE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, green/bunching",2.2,3.8,625000,7750016,1.375,2.375,17.050035200000003,29.450060799999996,625000,7750016,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Onion, pickling/pearl and dry bulb for set production",2.9,4.7,12000000,23529412,34.8,56.4,68.2352948,110.5882364,12000000,23529412,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Parsley,1.8,1.8,NA,NA,1,1,2,2,555555.5555555555,1111111.111111111,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Parsnip,5,5,NA,NA,3,3,5.5,5.5,600000,1100000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
"Pea, field/dry pulse",125,300,322917,1139707,40.364625,96.8751,142.463375,341.9121,322917,1139707,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Pea, horticultural/vegetable",111,333,107639,1853289,11.947929,35.843787,205.715079,617.145237,107639,1853289,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Pepper,3.3,9.1,23920,109739,0.078936,0.217672,0.3621387,0.9986249,23920,109739,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Radish,8.5,9.1,NA,NA,11,11,17,17,1208791.2087912087,2000000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
Rye,25,38,NA,NA,30,30,190,190,789473.6842105264,7600000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Sage,0.11,0.11,NA,NA,1.8,1.8,1.8,1.8,16363636.363636363,16363636.363636363,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Sorghum,13,35,NA,NA,5.6,5.6,40,40,159999.99999999997,3076923.076923077,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Soybean,93.5,256.4,66667,642000,6.2333645,17.0934188,60.027,164.6088,66667,642000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Spinach,2.9,2.9,NA,NA,12,12,12,12,4137931.034482759,4137931.034482759,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
"Squash, summer",71,143,2222,64583,0.157762,0.317746,4.585393,9.235369,2222,64583,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Squash, winter",67,302,1455,53820,0.097485,0.43941,3.60594,16.25364,1455,53820,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Sugar beet,7.5,20,74132,247105,0.55599,1.4826400000000002,1.8532875,4.942099999999999,74132,247105,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Sunflower, confection-type",91,227,49000,56834,4.459,11.123,5.171894,12.901318000000002,49000,56834,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Sunflower, oilseed-type",50,91,52000,87000,2.6,4.732,4.35,7.917,52000,87000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Tomato,1.7,4.5,5980,322917,0.010166,0.02691,0.5489588999999999,1.4531264999999998,5980,322917,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Triticale,28,49,NA,NA,75,75,210,210,1530612.244897959,7500000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, winter (non-durum)",20,50,NA,5500000,30,30,110,275,600000,5500000,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, Durum",40,50,NA,4800000,67,67,192,240,1340000,4800000,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, spring (non-durum)",20,50,NA,5750000,67,67,115,287.5,1340000,5750000,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
